date,description,amount
2026-06-01,Payroll Direct Deposit,2600.00
2026-06-01,Rent Landlord June,-1600.00
2026-06-01,Starbucks Coffee,-6.75
2026-06-02,Whole Foods Market,-82.40
2026-06-02,Netflix Subscription,-15.99
2026-06-03,Spotify Premium,-11.99
2026-06-03,Shell Gas Station,-48.00
2026-06-04,Chipotle,-14.30
2026-06-04,iCloud Storage,-2.99
2026-06-05,Amazon Purchase,-64.99
2026-06-05,Comcast Internet,-69.99
2026-06-06,Trader Joe's,-54.10
2026-06-06,CVS Pharmacy,-28.50
2026-06-07,DoorDash Restaurant Order,-38.60
2026-06-07,Venmo Payment,-22.00
2026-06-08,Uber Ride,-18.40
2026-06-08,Gym Membership,-45.00
2026-06-09,Safeway Groceries,-63.75
2026-06-09,Target Store,-83.25
2026-06-10,Local Cafe,-9.20
2026-06-10,Electric Company,-95.30
2026-06-11,Lyft Ride,-14.75
2026-06-11,ATM Withdrawal,-20.00
2026-06-12,Uber Eats Dinner,-41.85
2026-06-12,Walgreens Pharmacy,-31.10
2026-06-13,Costco Wholesale,-128.90
2026-06-13,Best Buy Electronics,-61.40
2026-06-14,Restaurant Bella Italia,-74.50
2026-06-14,Parking Garage Downtown,-12.00
2026-06-15,Aldi Supermarket,-35.20
2026-06-15,Payroll Direct Deposit,2600.00
